bill,year,,support_spent,oppose_spent,neutral_spent,support_hhi,oppose_hhi,neutral_hhi
h03188,2011,187,0,0,79.13808892,,,1
h03189,2011,187,6390,0,0,1,,
h03186,2011,187,100,0,0,1,,
h03187,2011,187,100,0,0,1,,
h03184,2011,187,15047.23077,0,141.870407,0.34608957,,0.605041856
h03185,2011,187,101,0,0,0.980394079,,
h03182,2011,187,3438.443643,0,0,0.50435845,,
h03180,2011,187,3716.443643,0,0,0.437361515,,
h03181,2011,187,3437.443643,0,0,0.504651858,,
h03340,2011,187,0,0,273.466371,,,1
s02359,2011,187,52560.23983,305.8191667,5211.381589,0.660249018,1,0.615353752
h03344,2011,187,46,0,0,1,,
h03345,2011,187,3617.595369,0,51958.6033,0.458121205,,0.524864149
h03346,2011,187,3617.595369,0,46899.41439,0.458121205,,0.637277736
h03347,2011,187,5427.788255,0,310.6377101,0.188899235,,1
h03348,2011,187,0,0,518.1045501,,,0.383008516
h01048,2011,187,0,0,4090.45461,,,0.509559333
s02327,2011,187,0,0,510.9978483,,,0.773441893
s02816,2011,187,0,2575,0,,1,
h00608,2011,187,104.7295188,5032.496156,3333.79923,1,1,0.24802051
h02921,2011,187,0,0,1066.957312,,,0.866149193
h00609,2011,187,0,0,363.6363636,,,1
h02834,2011,187,2442.695484,0,0,0.441802177,,
s00899,2011,187,0,0,27.8307888,,,1
h03744,2011,187,4333.75475,0,5811.099014,1,,0.27995958
s01260,2011,187,278,0,0,1,,
h04278,2011,187,0,0,27.8307888,,,1
h00718,2011,187,0,0,79.13808892,,,1
h03742,2011,187,0,0,2361.321429,,,1
h01737,2011,187,2326.288571,0,0,0.354366203,,
s01814,2011,187,0,1651.969427,1243.521918,,0.643418771,1
h04420,2011,187,0,305.8191667,0,,1,
h01736,2011,187,1991.895714,0,361.8096306,0.358245966,,1
s02192,2011,187,29802.89438,0,973.8621175,0.43574987,,0.522302438
h02015,2011,187,201.24,0,32.49812718,1,,1
s03514,2011,187,0,7000,0,,1,
s01760,2011,187,0,32921.42857,897.8598485,,1,0.634557552
s01920,2011,187,413786.9558,37088.59177,513215.0803,0.025127914,0.113244751,0.019918401
s01765,2011,187,3354.591429,0,3040.629419,1,,1
s01764,2011,187,4274.398192,5063.21,12671.29578,0.645988316,0.522047341,0.415175724
s01766,2011,187,57.26333333,0,897.8598485,0.751302903,,0.634557552
s01769,2011,187,0,0,6485.583333,,,1
s01768,2011,187,0,0,38.42213115,,,1
h01739,2011,187,53750,0,38.42213115,1,,1
h05000,2011,187,0,0,27.8307888,,,1
h00603,2011,187,0,0,1059.324957,,,0.393748517
s02027,2011,187,1960.823529,0,30.23714203,1,,1
h03571,2011,187,2986.222222,0,27.8307888,1,,1
s02023,2011,187,0,0,27.8307888,,,1
h00551,2011,187,0,272.46,0,,1,
s02020,2011,187,17000,0,1493.039014,1,,0.523892104
s01880,2011,187,10200,0,0,1,,
h01603,2011,187,524.47875,0,0,1,,
s02211,2011,187,1528.212792,961.5384615,16000,0.557112252,1,1
s02199,2011,187,0,0,38.42213115,,,1
h01015,2011,187,17452.54,0,5262.38423,1,,0.661025285
s02213,2011,187,9925.158662,20,2144.333333,0.354127595,1,0.445022204
s00968,2011,187,1128.502415,0,4406.506887,0.53387127,,0.662241663
s00969,2011,187,0,3252.396904,142.5118265,,0.564888126,0.606162224
h00348,2011,187,13641.19834,10731.0412,2134.83437,0.231652549,0.884837157,0.356625558
s00964,2011,187,750,0,1203.872621,1,,0.439475555
s00965,2011,187,7379.309836,1925.946667,12238.46077,0.279661317,0.774086759,0.423576249
s00966,2011,187,0,0,206.292104,,,0.415611523
s00967,2011,187,12040.77,0,3103.112738,1,,0.26705269
s00960,2011,187,5824.421836,7675.946667,7397.379908,0.460080369,0.658667578,0.45492227
s00962,2011,187,0,1172.083333,905.0632627,,1,0.407577778
s00963,2011,187,0,351.459852,130.0331975,,1,0.451061417
s02122,2011,187,6683.028509,2469.976822,10930.88335,0.339850732,0.380591322,0.248945545
s02123,2011,187,0,0,27.8307888,,,1
s02120,2011,187,1912.828177,3070.41827,1713.446037,0.396027076,0.313032598,0.444000888
s02121,2011,187,3478.116313,3132.906649,31980.23933,0.27419626,0.290766045,0.381354752
s02126,2011,187,18083.33333,0,7529.292368,0.920490985,,0.856290265
s02216,2011,187,24640.78083,2333.333333,25173.65688,0.300003217,1,0.085313592
s02125,2011,187,52195.56573,4160.385284,59059.14233,0.393120958,0.210421722,0.600582952
s02409,2011,187,0,9729.08209,2676.66,,0.173524724,1
s02217,2011,187,71039.78238,9459.916667,0,0.720513175,0.395105291,
s01399,2011,187,0,0,64.51443294,,,1
h02101,2011,187,1923.470773,68.55,394.8727604,0.561854592,1,0.35032985
h02100,2011,187,3593.021344,3594.38815,2619.205327,0.185261868,0.495156368,0.156861191
h02103,2011,187,3642.857143,0,0,0.569396386,,
s01619,2011,187,0,0,361.8096306,,,1
h02104,2011,187,36289.85842,0,0,0.771747065,,
h02107,2011,187,0,0,733.56,,,1
h02109,2011,187,14941.4874,0,2102.727273,0.442562168,,0.501193371
s01614,2011,187,0,0,27.8307888,,,1
s01617,2011,187,236.75,0,439.3318644,1,,0.329696883
h00283,2011,187,4939.821429,1849.86381,15753.43373,0.577102953,0.515291472,0.387827606
s01610,2011,187,0,1816.332044,104.0896954,,1,1
s01613,2011,187,0,0,4408.013942,,,0.324366148
s01612,2011,187,47000,0,2663.941695,0.746491625,,0.729089993
s01365,2011,187,278,0,79.13808892,1,,1
s01395,2011,187,19494.5,0,7195.360195,1,,1
h02550,2011,187,9175,0,0,0.63827781,,
h02329,2011,187,28000,1160.714286,587.4306707,1,1,0.441738372
s01817,2011,187,0,0,222.2222222,,,1
h00814,2011,187,8480.323881,0,79.13808892,1,,1
h02321,2011,187,6826.094971,0,1316.62,0.990363023,,1
h02320,2011,187,0,0,8666.666667,,,1
h04120,2011,187,2640.148333,20,621.43,0.966518821,1,1
h02322,2011,187,694.4444444,0,0,1,,
h02325,2011,187,0,3499.532044,1470.045878,,1,0.22303408
h02324,2011,187,1316.62,0,658.31,1,,1
h02327,2011,187,0,0,102.2024087,,,0.656013489
h02326,2011,187,8083.647576,0,1760,0.648269659,,0.461518595
h02404,2011,187,990,0,0,1,,
s01506,2011,187,0,0,633.9281773,,,0.514335419
h00347,2011,187,5914.166667,0,6726.420364,0.5117295,,0.697397067
s01135,2011,187,7678.571429,0,0,0.373715522,,
h02551,2011,187,0,5000,104.0896954,,1,1
s01501,2011,187,0,0,1845,,,1
h00346,2011,187,3439.821429,0,6444.511028,1,,0.390967834
h02154,2011,187,1,0,361.8096306,1,,1
s00226,2011,187,656.5538969,0,1626.373626,0.52386749,,0.50146092
h02152,2011,187,20769.80865,0,0,0.512681261,,
h01865,2011,187,694.4444444,0,0,1,,
h00812,2011,187,0,0,633.9281773,,,0.514335419
h04085,2011,187,930.299,4999.8,55.66157761,1,1,1
h02153,2011,187,0,0,361.8096306,,,1
s01514,2011,187,0,0,95.16526741,,,1
h02749,2011,187,8540.499697,39736.75,43.75,0.732750502,0.394063836,1
h02748,2011,187,380,0,0,0.501385042,,
h02039,2011,187,6422.231252,3255.661328,341.7923993,0.967917176,0.605173186,0.546935135
h02038,2011,187,6317.501733,12560.66776,574.1628099,1,0.135137426,0.760391768
h02743,2011,187,0,14104.65696,67696.03976,,0.189731493,0.114774665
s01900,2011,187,10089.43364,391.4233333,23754.43416,0.203246737,1,0.315388629
